Country Name,Country Code,"2016 [YR2016] - Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]",2016 [YR2016] - Government Effectiveness: Estimate [GE.EST],"2016 [YR2016] - GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",2016 [YR2016] - Electric power transmission and distribution losses (% of output) [EG.ELC.LOSS.ZS],"2016 [YR2016] - Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",2016 [YR2016] - Access to electricity (% of population) [EG.ELC.ACCS.ZS],2016 [YR2016] - Rural population (% of total population) [SP.RUR.TOTL.ZS],2016 [YR2016] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2016 [YR2016] - Population density (people per sq. km of land area) [EN.POP.DNST]
Latvia,LVA,100,0.965538024902344,24063.4511245109,7.39414694894147,100,100,32.0692889141528,67.9307110858472,31.4901409356067
Lebanon,LBN,98.3,-0.483212560415268,18940.5901000453,10.1453009068425,100,99.8,11.164107366604,88.835892633396,618.089931573803
Lesotho,LSO,23.3,-0.878702759742737,2942.18153663921,..,66.4,35.1,64.4922049290559,35.5077950709441,70.1720026350461
Liberia,LBR,4.1,-1.31663775444031,1490.33581410026,..,31.2,17.7,48.7312689765616,51.2687310234384,49.3730066445183
Libya,LBY,..,-1.75351476669312,16961.0177111717,20.1368555060471,100,72.2,12.1839943296823,87.8160056703177,3.76923855098492
Liechtenstein,LIE,100,1.66266179084778,..,..,100,100,85.5197081312621,14.4802918687379,235.725
Lithuania,LTU,100,1.03285944461823,28698.9887868061,21.2611345522738,100,100,32.8105773925781,67.1894226074219,45.9328405861882
Luxembourg,LUX,100,1.65589165687561,113365.176082265,7.14610832954028,100,100,8.46429099473509,91.5357090052649,226.072263698018
"Macao SAR, China",MAC,100,1.14072906970978,107653.177281832,..,100,100,0,100,21393.4426229508
Madagascar,MDG,..,-1.22864735126495,1561.51962374608,5.86637696903857,67.3,22.9,70.5760533683122,29.4239466316878,44.8606943966999
Malawi,MWI,4.9,-0.795695960521698,1409.95802703533,..,42,11,84.100367061718,15.899632938282,186.229730589733
Malaysia,MYS,99.6,0.817718744277954,25285.8213541391,6.89710200434061,100,99.9,26.1411021090386,73.8588978909614,96.7575254907929
Maldives,MDV,100,-0.17816124856472,18769.5060607629,..,100,100,61.0439127682185,38.9560872317815,1477.69333333333
Mali,MLI,8.4,-1.02762377262115,2531.80496963482,..,83,38.8,73.5531413922805,26.4468586077195,15.7281152935199
Malta,MLT,100,0.920882403850555,40999.9620259653,25.2042007001167,100,100,5.51999664306641,94.4800033569336,1420.328125
Marshall Islands,MHL,86.9,-0.197998747229576,4366.25764216189,..,94.5,92.7,24.1475784698204,75.8524215301796,265.05
Mauritania,MRT,..,-0.85434877872467,4682.70259690033,..,80.5,41.2,47.0814372680054,52.9185627319946,3.96493354031241
Mauritius,MUS,99.8,1.01903390884399,21951.8307433111,5.65417488494412,99.6,99.7,60.4421106739506,39.5578893260494,632.822734101152
Mexico,MEX,98.3,0.0276105776429176,20104.5839787472,12.5028911490208,99.8,99.5,22.5594912648514,77.4405087351486,62.8881149206513
"Micronesia, Fed. Sts.",FSM,69.9,-0.0447295308113098,3340.44639346428,..,91.4,74.8,77.6785103862445,22.3214896137555,155.821428571429
Moldova,MDA,99.9,-0.693787217140198,10325.8404896126,9.90944814624978,100,99.9,60.2626762390137,39.7373237609863,97.614165825121
Monaco,MCO,100,1.80540561676025,..,..,100,100,0,100,18389.7385298471
Mongolia,MNG,74.1,-0.0960112661123276,10511.3831063141,14.4167990118228,98.6,90.8,32.0223245179021,67.9776754820979,1.98352563105577
Montenegro,MNE,98.9,0.135110005736351,18030.0907942324,17.2238140719516,99.9,99.6,35.0898307706591,64.9101692293409,46.4946468401487
Morocco,MAR,95.4,-0.193648084998131,7853.17626953125,17.5881273140226,99.3,97.8,39.0342343462821,60.9657656537179,78.4751445216222
Mozambique,MOZ,4.7,-0.946212470531464,1379.10740028691,13.1213142375737,66.2,26.2,67.6180765604766,32.3819234395234,34.7632251583204
Myanmar,MMR,39.8,-1.0119286775589,4459.53981427471,13.3404183913189,92.3,55.6,70.1870834417906,29.8129165582094,78.8867551089188
Namibia,NAM,31.6,0.193662866950035,10200.1392609733,33.2657200811359,69.3,49.7,53.8248274351216,46.1751725648784,2.96276281747622
Nauru,NRU,..,-0.0838949382305145,10281.267399011,..,99.5,99.7,0,100,557.5
