Country Name,Country Code,"2016 [YR2016] - Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]",2016 [YR2016] - Government Effectiveness: Estimate [GE.EST],"2016 [YR2016] - GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",2016 [YR2016] - Electric power transmission and distribution losses (% of output) [EG.ELC.LOSS.ZS],"2016 [YR2016] - Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",2016 [YR2016] - Access to electricity (% of population) [EG.ELC.ACCS.ZS],2016 [YR2016] - Rural population (% of total population) [SP.RUR.TOTL.ZS],2016 [YR2016] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2016 [YR2016] - Population density (people per sq. km of land area) [EN.POP.DNST]
Nepal,NPL,89.8,-0.893620848655701,2976.12513681451,34.3562694797411,94.5,90.7,34.7104831164447,65.2895168835553,195.015430763865
Netherlands,NLD,100,1.82028615474701,53162.2791598028,4.71786588860522,100,100,9.4196760547223,90.5803239452777,505.800831600832
New Caledonia,NCL,100,..,..,..,100,100,33.1097945341594,66.8902054658406,15.5045404814004
New Zealand,NZL,100,1.8059014081955,39988.9250855472,6.69112152707017,100,100,15.308634406,84.691365594,17.9032319319433
Nicaragua,NIC,62.3,-0.737571179866791,5882.36645219746,22.8926159878022,99.5,83.9,41.9956119217977,58.0043880782023,51.7921389396709
Niger,NER,8.8,-0.694123387336731,1188.55709229837,17.7489177489178,59.2,17,83.6101719456764,16.3898280543236,16.3304278834768
Nigeria,NGA,34,-1.12036550045013,7072.49693372311,14.4428950736376,86,59.3,43.458961206653,56.541038793347,214.591719094832
North Macedonia,MKD,100,-0.0337916128337383,16457.5652245258,17.8717356546456,99.9,100,40.6176929010109,59.3823070989891,75.5873513084853
Northern Mariana Islands,MNP,100,..,..,..,100,100,8.6009952146717,91.3990047853283,110.376086956522
Norway,NOR,100,1.83236646652222,59280.1992028829,5.1629741951933,100,100,18.3199996948242,81.6800003051758,14.3354243797401
Oman,OMN,100,0.138545840978622,33333.8635893722,9.49111942042533,100,100,22.2478637695312,77.7521362304688,14.1870016155089
Pakistan,PAK,88,-0.700057625770569,4630.7315068374,19.1004592468999,98.5,91.8,63.8402815099667,36.1597184900333,285.568271326276
Palau,PLW,100,0.1981370896101,18234.6118770397,..,100,100,19.8910664233935,80.1089335766065,38.6891304347826
Panama,PAN,78.1,0.153621435165405,30276.7088496195,13.8802131177659,99.4,92.4,34.4028444703344,65.5971555296656,54.3589584457636
Papua New Guinea,PNG,5.6,-0.73513251543045,3812.71035100798,..,66.2,13.5,86.6346348057608,13.3653651942392,19.7891577971117
Paraguay,PRY,96.1,-0.821805059909821,13329.1373366354,5.99175173668282,99.9,98.4,37.9172386791394,62.0827613208606,15.7289856531588
Peru,PER,78,-0.256282150745392,12066.5460683317,10.6587383059908,98.9,94.2,18.5807637758057,81.4192362241943,24.1144484375
Philippines,PHL,87.9,0.0184973310679197,7382.66758431792,9.12805489168144,96.6,92,48.0885251848825,51.9114748151175,357.969342992253
Poland,POL,100,0.651506066322327,28359.6927346266,5.69808263570078,100,100,39.7597715771003,60.2402284228997,124.008253045495
Portugal,PRT,100,1.14832854270935,31589.2695609552,8.12378789636825,100,100,38.8656988757277,61.1343011242723,112.716384151187
Puerto Rico (US),PRI,100,0.355337202548981,32245.8484276651,..,100,100,6.1767261995697,93.8232738004303,392.382412626832
Qatar,QAT,100,0.723663330078125,89934.66888248,5.98482520623065,100,100,1.0144734654577,98.9855265345423,215.588598781549
Romania,ROU,98.6,-0.0682618692517281,23905.1743665679,10.9441961199945,99.5,99.1,46.4471828027361,53.5528171972639,85.6322453059805
Russian Federation,RUS,100,-0.324105769395828,24012.40234375,9.83039910245258,99.1,99.4,25.6296861290757,74.3703138709243,8.85489473873823
Rwanda,RWA,19,0.0133427688851953,1866.38968530286,23.7129485179407,80,29.4,80.8786048213452,19.1213951786548,483.144831779489
Samoa,WSM,98.7,0.689992189407349,6141.45089044263,..,99.7,98.9,80.873537633251,19.126462366749,71.9077738515901
San Marino,SMR,100,1.54083681106567,53033.0563376235,..,100,100,2.90000152587891,97.0999984741211,551.683333333333
Sao Tome and Principe,STP,58.6,-0.777475357055664,3319.54261733278,..,73.7,69.4,32.4781112670898,67.5218887329102,212.176041666667
Saudi Arabia,SAU,100,0.214122653007507,49937.0668103808,7.09672698496153,100,99.9,16.870871369374,83.129128630626,14.399377584675
Senegal,SEN,44.5,-0.502697646617889,3101.12348494108,15.0325330940094,87.7,64.5,52.9446420090071,47.0553579909929,78.0892380408248
Serbia,SRB,99.9,-0.0386092476546764,16455.4261201487,12.2210360429058,100,99.9,39.6146129965974,60.3853870034026,80.7034301394923
Seychelles,SYC,100,0.521263897418976,28811.3970334958,..,100,100,56.7184367468704,43.2815632531296,205.819565217391
Sierra Leone,SLE,1.6,-1.22547876834869,2634.9252433025,..,46.9,20.3,58.770588461229,41.229411538771,99.8244389027431
Singapore,SGP,100,2.21462416648865,89901.8159165036,1.90994059252666,100,100,0,100,7908.72073342736
Sint Maarten (Dutch part),SXM,100,..,44845.106868735,..,100,100,0,100,1124.97058823529
Slovak Republic,SVK,100,0.793482840061188,29867.9803390081,4.92166715932604,100,100,46.2600672913483,53.7399327086517,112.953369384359
Slovenia,SVN,100,1.08712339401245,33575.1775435757,5.30909090909091,100,100,46.352725982666,53.647274017334,102.52417833383
Solomon Islands,SLB,54.9,-0.92722624540329,2421.18991118943,..,69.4,58.2,75.4952575600293,24.5047424399707,23.6648445873526
"Somalia, Fed. Rep.",SOM,37.3,-2.20634460449219,1468.50438474605,..,68.9,51.1,54.057157270826,45.942842729174,22.8723499218924
South Africa,ZAF,77.9,0.101402580738068,13519.3235102376,8.46656933613455,87.1,83.9,36.7249026560653,63.2750973439347,47.2014038529705
South Sudan,SSD,3.7,-2.33689188957214,..,4.58167330677291,12.1,5.3,80.9230523385623,19.0769476614377,17.1381355529885
Spain,ESP,100,1.0948657989502,37612.7188681342,9.72446146063449,100,100,20.6384044722003,79.3615955277997,92.9973717081295
Sri Lanka,LKA,97.2,-0.0275178775191307,13078.5605089072,6.97983758050966,99,97.5,81.0252320631838,18.9747679368162,342.672030762768
St. Kitts and Nevis,KNA,100,0.217992216348648,28214.709934443,..,100,100,68.7193828093831,31.2806171906169,181.057692307692
